               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093115,            0.041948,            0.021124,              0.3986,             0.50554,             0.36595,             0.12139,            0.070461,            0.028553,           0.0062224,            0.070789,           0.0032456,           0.0032456
                   1,            0.070469,            0.028959,           0.0061055,             0.28324,              0.5983,             0.32406,             0.11447,             0.07552,            0.019513,           0.0030165,            0.040746,           0.0065355,           0.0065355
                   2,            0.071883,             0.02389,           0.0043696,             0.29291,             0.77521,             0.56882,              0.2038,            0.082588,            0.016795,           0.0027811,            0.010659,           0.0097814,           0.0097814
                   3,            0.063205,            0.021565,           0.0043381,             0.58633,              0.7854,             0.73565,             0.28478,            0.062845,            0.016717,           0.0021011,            0.009802,            0.009802,            0.009802
                   4,            0.053887,            0.019348,           0.0037196,             0.81978,             0.89174,             0.85263,             0.34551,            0.042341,            0.014597,           0.0018685,            0.009802,            0.009802,            0.009802
                   5,             0.04569,            0.018461,           0.0027041,             0.63856,             0.92816,             0.79393,             0.32242,            0.055845,            0.015048,           0.0012066,            0.009736,            0.009736,            0.009736
                   6,            0.040286,             0.01734,           0.0027523,             0.58876,             0.92575,             0.77654,             0.39595,            0.037152,            0.013122,           0.0015511,             0.00967,             0.00967,             0.00967
                   7,            0.038126,            0.015888,           0.0021912,             0.98301,             0.99019,             0.98901,              0.7156,            0.024315,            0.011496,           0.0011736,            0.009604,            0.009604,            0.009604
                   8,            0.034766,             0.01591,           0.0021149,             0.95626,             0.98114,             0.98085,             0.72863,             0.02469,            0.010979,           0.0014657,            0.009538,            0.009538,            0.009538
                   9,            0.033004,            0.015526,           0.0019736,             0.98972,             0.99019,             0.99004,             0.76741,            0.023185,            0.010717,           0.0012882,            0.009472,            0.009472,            0.009472
                  10,            0.031682,            0.015368,           0.0017662,             0.77876,             0.95778,             0.93806,             0.64678,            0.025377,            0.011147,           0.0014205,            0.009406,            0.009406,            0.009406
                  11,            0.031056,            0.015038,           0.0018278,             0.99146,             0.98899,             0.99197,             0.64742,            0.026236,            0.010832,           0.0011884,             0.00934,             0.00934,             0.00934
                  12,            0.029761,            0.014468,           0.0015445,             0.94357,             0.95592,             0.99071,             0.68745,            0.026954,            0.010511,             0.00124,            0.009274,            0.009274,            0.009274
                  13,            0.028949,            0.014544,           0.0015901,             0.99024,             0.99019,             0.99217,             0.80922,            0.020844,            0.010097,           0.0010466,            0.009208,            0.009208,            0.009208
                  14,            0.027539,            0.013836,           0.0013711,             0.95285,             0.97427,             0.99047,             0.69146,            0.024792,            0.010017,            0.001219,            0.009142,            0.009142,            0.009142
                  15,            0.025541,            0.013216,           0.0015212,             0.98313,             0.99019,             0.98714,             0.79281,            0.018104,           0.0097486,           0.0011466,            0.009076,            0.009076,            0.009076
                  16,            0.025954,            0.013828,           0.0015015,             0.99267,              0.9935,             0.99354,             0.66064,            0.028651,            0.010824,           0.0011914,             0.00901,             0.00901,             0.00901
                  17,            0.027181,            0.013867,           0.0013077,             0.98905,             0.99338,             0.99377,             0.73598,            0.023198,           0.0096554,          0.00092636,            0.008944,            0.008944,            0.008944
                  18,            0.025276,            0.013219,           0.0011722,             0.98434,             0.99171,             0.99447,             0.82088,            0.018323,           0.0094252,           0.0010262,            0.008878,            0.008878,            0.008878
                  19,            0.024225,             0.01333,           0.0012381,             0.99182,             0.99604,              0.9949,             0.84184,            0.016521,           0.0089109,          0.00092331,            0.008812,            0.008812,            0.008812
                  20,            0.023878,            0.012619,           0.0011186,             0.99497,              0.9935,             0.99394,             0.75686,            0.023451,           0.0096241,            0.000886,            0.008746,            0.008746,            0.008746
                  21,            0.024468,            0.012685,           0.0010903,             0.98535,             0.99338,              0.9889,             0.80567,            0.018295,           0.0092428,          0.00080481,             0.00868,             0.00868,             0.00868
                  22,            0.024266,            0.012816,          0.00098745,             0.98876,             0.99565,             0.99436,             0.77964,            0.017704,           0.0093111,           0.0009136,            0.008614,            0.008614,            0.008614
                  23,            0.023472,            0.012955,           0.0010089,             0.99071,             0.99338,             0.99407,              0.8125,             0.01647,           0.0088785,          0.00067692,            0.008548,            0.008548,            0.008548
                  24,            0.023044,            0.012595,           0.0010235,             0.99091,             0.99032,             0.99481,              0.8028,              0.0164,           0.0090958,          0.00087166,            0.008482,            0.008482,            0.008482
                  25,            0.022531,            0.012279,           0.0011286,             0.98491,             0.99854,             0.99354,             0.79944,            0.016883,           0.0090693,            0.000861,            0.008416,            0.008416,            0.008416
                  26,            0.021411,            0.011869,           0.0008604,             0.98708,             0.99873,             0.99484,             0.83215,            0.018446,           0.0092236,          0.00067596,             0.00835,             0.00835,             0.00835
                  27,            0.021709,            0.012084,          0.00088407,             0.99227,             0.99626,               0.995,             0.81434,            0.015096,           0.0085583,          0.00078831,            0.008284,            0.008284,            0.008284
                  28,            0.020974,            0.012068,          0.00096646,             0.99559,             0.99065,               0.995,             0.87988,            0.013654,           0.0083866,          0.00080246,            0.008218,            0.008218,            0.008218
                  29,            0.020239,            0.011502,          0.00092758,             0.99087,             0.98666,             0.98704,              0.8259,            0.016528,           0.0088863,          0.00073984,            0.008152,            0.008152,            0.008152
                  30,            0.020906,            0.012242,          0.00086843,             0.99558,             0.98992,             0.99464,             0.80086,            0.019071,           0.0093657,          0.00077534,            0.008086,            0.008086,            0.008086
                  31,            0.021175,             0.01193,          0.00083428,             0.98702,             0.99019,             0.99077,             0.85546,             0.01472,           0.0087833,          0.00067595,             0.00802,             0.00802,             0.00802
                  32,            0.020305,            0.011715,          0.00074376,             0.99041,             0.98915,             0.99396,             0.83041,            0.015642,           0.0087959,          0.00068148,            0.007954,            0.007954,            0.007954
                  33,            0.019819,            0.011337,          0.00091529,             0.98242,             0.99363,              0.9949,             0.83316,            0.015278,           0.0088974,          0.00078875,            0.007888,            0.007888,            0.007888
                  34,            0.019823,            0.012235,          0.00090905,             0.99426,             0.99622,             0.99497,             0.88036,            0.013931,            0.007999,           0.0007872,            0.007822,            0.007822,            0.007822
                  35,            0.019471,            0.011562,          0.00080802,             0.99302,             0.98906,               0.995,             0.84937,            0.014408,           0.0080919,          0.00065245,            0.007756,            0.007756,            0.007756
                  36,            0.019322,            0.011439,          0.00081323,             0.98762,             0.99701,             0.99493,              0.8772,            0.012654,           0.0084249,          0.00076534,             0.00769,             0.00769,             0.00769
                  37,            0.018226,            0.011224,          0.00091211,             0.99633,             0.99636,             0.99493,             0.88412,            0.013457,           0.0084091,           0.0007316,            0.007624,            0.007624,            0.007624
                  38,            0.018539,            0.011446,          0.00073191,             0.99473,             0.99669,             0.99497,             0.87926,            0.013894,           0.0083153,           0.0005966,            0.007558,            0.007558,            0.007558
                  39,            0.018766,            0.010734,          0.00064649,             0.99384,             0.99319,              0.9949,             0.85118,            0.013716,           0.0085791,           0.0005144,            0.007492,            0.007492,            0.007492
                  40,             0.01872,            0.010907,          0.00060107,             0.99284,             0.99413,             0.99497,             0.81574,            0.017316,           0.0086903,           0.0005365,            0.007426,            0.007426,            0.007426
                  41,            0.018688,            0.011419,          0.00071369,             0.99282,             0.99369,             0.99493,             0.88734,            0.012897,           0.0089941,          0.00053207,             0.00736,             0.00736,             0.00736
                  42,             0.01827,            0.011102,           0.0006435,             0.99262,             0.99287,             0.99483,             0.87684,             0.01341,           0.0082642,           0.0006004,            0.007294,            0.007294,            0.007294
                  43,             0.01771,            0.010928,          0.00082831,              0.9885,             0.99682,              0.9949,             0.85742,            0.014369,           0.0081648,          0.00064846,            0.007228,            0.007228,            0.007228
                  44,            0.018042,            0.010785,          0.00069548,             0.99382,              0.9935,              0.9949,             0.87618,            0.013448,           0.0078936,          0.00054871,            0.007162,            0.007162,            0.007162
                  45,            0.017277,             0.01063,          0.00072986,             0.99424,             0.99644,             0.99497,             0.87697,            0.012826,           0.0081205,              0.0007,            0.007096,            0.007096,            0.007096
                  46,            0.017533,            0.011068,          0.00081662,             0.99316,             0.99003,             0.99494,             0.85848,            0.014211,           0.0089703,          0.00063663,             0.00703,             0.00703,             0.00703
                  47,            0.017619,            0.010817,           0.0005785,             0.98674,             0.99558,             0.99377,             0.84345,            0.013496,           0.0083641,          0.00051472,            0.006964,            0.006964,            0.006964
                  48,            0.016876,            0.010612,          0.00058592,             0.99412,             0.99251,             0.99371,             0.89951,            0.011741,            0.008416,          0.00053679,            0.006898,            0.006898,            0.006898
                  49,            0.017153,            0.010942,          0.00060254,             0.99635,              0.9906,             0.99497,             0.88236,            0.012198,           0.0082861,           0.0005103,            0.006832,            0.006832,            0.006832
                  50,            0.017236,            0.010534,          0.00059963,             0.99588,              0.9935,             0.99464,             0.88025,            0.012152,           0.0079161,          0.00049097,            0.006766,            0.006766,            0.006766
                  51,            0.016517,            0.010571,          0.00059722,             0.99243,             0.99019,             0.98663,             0.87579,            0.012611,           0.0085121,          0.00055756,              0.0067,              0.0067,              0.0067
                  52,            0.016672,             0.01106,          0.00063336,             0.99466,              0.9935,             0.99381,             0.90073,            0.011325,           0.0080366,          0.00052164,            0.006634,            0.006634,            0.006634
                  53,            0.016361,            0.010093,           0.0005331,             0.99149,             0.99019,             0.98791,               0.872,            0.012018,           0.0079235,          0.00046193,            0.006568,            0.006568,            0.006568
                  54,            0.015802,           0.0096445,          0.00052898,             0.99354,             0.99669,             0.99321,             0.87168,            0.012593,           0.0079796,          0.00052481,            0.006502,            0.006502,            0.006502
                  55,            0.016096,            0.010428,          0.00068306,             0.98924,                   1,              0.9949,             0.89519,            0.010975,            0.007403,          0.00050007,            0.006436,            0.006436,            0.006436
                  56,            0.016008,            0.010289,          0.00053151,             0.99303,             0.99242,             0.99446,             0.91616,            0.010762,           0.0073715,          0.00047688,             0.00637,             0.00637,             0.00637
